Horizon,Execution Time (seconds)
1,3.2586239
2,4.6886943
3,7.171161699999999
4,7.7912459
5,9.045374100000004
6,10.439409300000001
7,11.8419472
8,13.310262799999997
9,15.778052899999992
10,19.6189842
11,25.877310499999993
12,28.892442700000004
13,33.52549549999998
14,39.0318465
15,41.27392609999998
16,43.19437339999996
17,49.36235350000004
18,52.628191000000015
19,35.4475458
20,36.20404159999998
21,67.64677819999997
22,75.60608859999991
23,47.367193199999974
24,52.2463373999999
25,53.881958499999996
26,59.003078699999946
27,60.25770290000003
28,64.97474720000002
29,66.55737999999997
30,71.30948790000002
